"file","sheet","rows","cols","has_headers"
"DriftLocation_Sheet1_raw.csv","DriftLocation_Sheet1_raw",3,2,FALSE
"LifeHistoryTypes_LifeHistoryTypes_raw.csv","LifeHistoryTypes_LifeHistoryTypes_raw",11,3,FALSE
"LifeHistoryTypes_LifeHistoryTypes_skip3.csv","LifeHistoryTypes_LifeHistoryTypes_skip3",8,3,FALSE
"MarkedFishType_MarkedFishType_raw.csv","MarkedFishType_MarkedFishType_raw",4,3,FALSE
"MarkedFishType_MarkedFishType_skip3.csv","MarkedFishType_MarkedFishType_skip3",1,3,FALSE
"MeshSizes_MeshSizes_raw.csv","MeshSizes_MeshSizes_raw",11,2,FALSE
"MeshSizes_MeshSizes_skip3.csv","MeshSizes_MeshSizes_skip3",8,2,FALSE
"SonarConfiguration_Sheet1_raw.csv","SonarConfiguration_Sheet1_raw",7,5,FALSE
"SonarConfiguration_Sheet1_skip3.csv","SonarConfiguration_Sheet1_skip3",4,5,FALSE
"Species_Species_raw.csv","Species_Species_raw",9,3,FALSE
"Species_Species_skip3.csv","Species_Species_skip3",6,3,FALSE
"Qualark_2023_DIDSON_Counts_LB_HF_raw.csv","Qualark_2023_DIDSON_Counts_LB_HF_raw",2404,8,FALSE
"Qualark_2023_DIDSON_Counts_LB_HF_skip3.csv","Qualark_2023_DIDSON_Counts_LB_HF_skip3",2401,8,FALSE
"Qualark_2023_DIDSON_Counts_LB_HF_with_headers.csv","Qualark_2023_DIDSON_Counts_LB_HF_with_headers",2401,8,TRUE
"Qualark_2023_DIDSON_Counts_LB_LF_LR_raw.csv","Qualark_2023_DIDSON_Counts_LB_LF_LR_raw",2404,8,FALSE
"Qualark_2023_DIDSON_Counts_LB_LF_LR_skip3.csv","Qualark_2023_DIDSON_Counts_LB_LF_LR_skip3",2401,8,FALSE
"Qualark_2023_DIDSON_Counts_LB_LF_LR_with_headers.csv","Qualark_2023_DIDSON_Counts_LB_LF_LR_with_headers",2401,8,TRUE
"Qualark_2023_DIDSON_Counts_LB_LF_raw.csv","Qualark_2023_DIDSON_Counts_LB_LF_raw",2404,8,FALSE
"Qualark_2023_DIDSON_Counts_LB_LF_skip3.csv","Qualark_2023_DIDSON_Counts_LB_LF_skip3",2401,8,FALSE
"Qualark_2023_DIDSON_Counts_LB_LF_with_headers.csv","Qualark_2023_DIDSON_Counts_LB_LF_with_headers",2401,8,TRUE
"Qualark_2023_DIDSON_Counts_Overall_Summary_raw.csv","Qualark_2023_DIDSON_Counts_Overall_Summary_raw",130,46,FALSE
"Qualark_2023_DIDSON_Counts_Overall_Summary_skip3.csv","Qualark_2023_DIDSON_Counts_Overall_Summary_skip3",127,46,FALSE
"Qualark_2023_DIDSON_Counts_Overall_Summary_with_headers.csv","Qualark_2023_DIDSON_Counts_Overall_Summary_with_headers",130,46,TRUE
"Qualark_2023_DIDSON_Counts_Pivots_raw.csv","Qualark_2023_DIDSON_Counts_Pivots_raw",104,17,FALSE
"Qualark_2023_DIDSON_Counts_Pivots_skip3.csv","Qualark_2023_DIDSON_Counts_Pivots_skip3",101,17,TRUE
"Qualark_2023_DIDSON_Counts_Pivots_with_headers.csv","Qualark_2023_DIDSON_Counts_Pivots_with_headers",102,17,TRUE
"Qualark_2023_DIDSON_Counts_RB_HF_raw.csv","Qualark_2023_DIDSON_Counts_RB_HF_raw",2404,8,FALSE
"Qualark_2023_DIDSON_Counts_RB_HF_skip3.csv","Qualark_2023_DIDSON_Counts_RB_HF_skip3",2401,8,FALSE
"Qualark_2023_DIDSON_Counts_RB_HF_with_headers.csv","Qualark_2023_DIDSON_Counts_RB_HF_with_headers",2401,8,TRUE
"Qualark_2023_DIDSON_Counts_RB_LF_LR_raw.csv","Qualark_2023_DIDSON_Counts_RB_LF_LR_raw",2404,8,FALSE
"Qualark_2023_DIDSON_Counts_RB_LF_LR_skip3.csv","Qualark_2023_DIDSON_Counts_RB_LF_LR_skip3",2401,8,FALSE
"Qualark_2023_DIDSON_Counts_RB_LF_LR_with_headers.csv","Qualark_2023_DIDSON_Counts_RB_LF_LR_with_headers",2401,8,TRUE
"Qualark_2023_DIDSON_Counts_RB_LF_raw.csv","Qualark_2023_DIDSON_Counts_RB_LF_raw",2404,8,FALSE
"Qualark_2023_DIDSON_Counts_RB_LF_skip3.csv","Qualark_2023_DIDSON_Counts_RB_LF_skip3",2401,8,FALSE
"Qualark_2023_DIDSON_Counts_RB_LF_with_headers.csv","Qualark_2023_DIDSON_Counts_RB_LF_with_headers",2401,8,TRUE
"Qualark_2023_Test_Fishing_and_Sampling_American_Shad_raw.csv","Qualark_2023_Test_Fishing_and_Sampling_American_Shad_raw",5,8,FALSE
