"drift_date","drift_number","location","drift_start_time","drift_end_time","duration","mesh_size","Adult_Sockeye_Retained","Jack_Sockeye_Retained","Adult_Chinook_Retained_Ad_P","Adult_Chinook_Retained_Ad_A","Adult_Chinook_Retained_Ad_Unk","Jack_Chinook_Retained_Ad_P","Jack_Chinook_Retained_Ad_A","Jack_Chinook_Retained_Ad_Unk","Coho_Retained_Ad_P","Coho_Retained_Ad_A","Coho_Retained_Ad_Unk","Pink_Retained","Chum_Retained","Steelhead_Retained","Adult_Sockeye_Released","Jack_Sockeye_Released","Adult_Chinook_Released_Ad_P","Adult_Chinook_Released_Ad_A","Adult_Chinook_Released_Ad_Unk","Jack_Chinook_Released_Ad_P","Jack_Chinook_Released_Ad_A","Jack_Chinook_Released_Ad_Unk","Coho_Released_Ad_P","Coho_Released_Ad_A","Coho_Released_Ad_Unk","Pink_Released","Chum_Released","Steelhead_Released","Comments","Adult_Chinook_Retained","Jack_Chinook_Retained","Adult_Chinook_Released","Jack_Chinook_Released","Coho_Retained","Coho_Released","LocationID","MeshId"
2023-07-02,1,"near","0.29166666666666669","0.2951388888888889","3.4722222222222099E-3",4,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift. One American Shad and One 6 foot Sturgeon","1","0","0","0","0","0","n",1
2023-07-02,2,"near","0.30555555555555552","0.30902777777777779","3.4722222222222654E-3",5.25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift. One fish hit the net and fell off, species unknown","0","0","0","0","0","0","n",5
2023-07-02,3,"near","0.31944444444444448","0.32291666666666669","3.4722222222222099E-3",6.75,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift","1","0","0","0","0","0","n",7
2023-07-02,4,"near","0.79305555555555562","0.79652777777777783","3.4722222222222099E-3",4.75,"2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift","1","0","0","0","0","0","n",4
2023-07-02,5,"near","0.80833333333333324","0.81180555555555556","3.4722222222223209E-3",5.75,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift","0","0","0","0","0","0","n",10
2023-07-02,6,"near","0.81944444444444453","0.82291666666666663","3.4722222222220989E-3",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","Good Drift","0","0","1","0","0","0","n",17
2023-07-03,1,"near","0.29583333333333334","0.29930555555555555","3.4722222222222099E-3",4.75,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift","0","0","0","0","0","0","n",4
2023-07-03,2,"near","0.30972222222222223","0.31319444444444444","3.4722222222222099E-3",5.75,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift","0","0","0","0","0","0","n",10
2023-07-03,3,"near","0.31944444444444448","0.32222222222222224","2.7777777777777679E-3",8,"0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift","2","0","0","0","0","0","n",17
2023-07-03,4,"near","0.79375000000000007","0.79722222222222217","3.4722222222220989E-3",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Good Drift","0","0","0","0","0","0","n",1
